"BinNo","MemberName"
"402592","KUVEYT TÜRK KATILIM BANKASI"
"403360","KUVEYT TÜRK KATILIM BANKASI"
"403810","KUVEYT TÜRK KATILIM BANKASI"
"410555","KUVEYT TÜRK KATILIM BANKASI"
"410556","KUVEYT TÜRK KATILIM BANKASI"
"431024","KUVEYT TÜRK KATILIM BANKASI"
"483714","KUVEYT TÜRK KATILIM BANKASI"
"511660","KUVEYT TÜRK KATILIM BANKASI"
"512595","KUVEYT TÜRK KATILIM BANKASI"
"518896","KUVEYT TÜRK KATILIM BANKASI"
"520180","KUVEYT TÜRK KATILIM BANKASI"
"525312","KUVEYT TÜRK KATILIM BANKASI"
"527083","KUVEYT TÜRK KATILIM BANKASI"
"547564","KUVEYT TÜRK KATILIM BANKASI"
"400742","TÜRKİYE FİNANS KATILIM BANKASI"
"404952","TÜRKİYE FİNANS KATILIM BANKASI"
"411685","TÜRKİYE FİNANS KATILIM BANKASI"
"424927","TÜRKİYE FİNANS KATILIM BANKASI"
"424931","TÜRKİYE FİNANS KATILIM BANKASI"
"428462","TÜRKİYE FİNANS KATILIM BANKASI"
"435627","TÜRKİYE FİNANS KATILIM BANKASI"
"435628","TÜRKİYE FİNANS KATILIM BANKASI"
"435629","TÜRKİYE FİNANS KATILIM BANKASI"
"441206","TÜRKİYE FİNANS KATILIM BANKASI"
"470954","TÜRKİYE FİNANS KATILIM BANKASI"
"479915","TÜRKİYE FİNANS KATILIM BANKASI"
"479916","TÜRKİYE FİNANS KATILIM BANKASI"
"479917","TÜRKİYE FİNANS KATILIM BANKASI"
"485061","TÜRKİYE FİNANS KATILIM BANKASI"
"498724","TÜRKİYE FİNANS KATILIM BANKASI"
"498725","TÜRKİYE FİNANS KATILIM BANKASI"
"511758","TÜRKİYE FİNANS KATILIM BANKASI"
"511783","TÜRKİYE FİNANS KATILIM BANKASI"
"512360","TÜRKİYE FİNANS KATILIM BANKASI"
"979217","T.C.ZİRAAT BANKASI"
"521848","TÜRKİYE FİNANS KATILIM BANKASI"
"528293","TÜRKİYE FİNANS KATILIM BANKASI"
"537719","TÜRKİYE FİNANS KATILIM BANKASI"
"549294","TÜRKİYE FİNANS KATILIM BANKASI"
"552610","TÜRKİYE FİNANS KATILIM BANKASI"
"606043","TÜRKİYE FİNANS KATILIM BANKASI"
"677451","TÜRKİYE FİNANS KATILIM BANKASI"
"483602","İŞ BANKASI"
"535514","İŞ BANKASI"
"979233","İŞ BANKASI"
"979204","İŞ BANKASI"
"365770","ALTERNATİF BANK"
"365771","ALTERNATİF BANK"
"365772","ALTERNATİF BANK"
"365773","ALTERNATİF BANK"
"423478","T. VAKIFLAR BANKASI T.A.O."
"483612","T. VAKIFLAR BANKASI T.A.O."
"535576","T. VAKIFLAR BANKASI T.A.O."
"479680","AKBANK"
"479681","AKBANK"
"534253","AKBANK"
"535449","AKBANK"
"603344","GARANTİ BANKASI"
"603650","GARANTİ BANKASI"
"979242","ING BANK"
"527765","FIBABANKA"
"654997","ALTERNATİF BANK"
"979216","KUVEYT TÜRK KATILIM BANKASI"
"537504","T. VAKIFLAR BANKASI T.A.O."
"979215","YAPI KREDİ BANKASI"
"979241","YAPI KREDİ BANKASI"
"401072","FİNANS BANK"
"423002","ALBARAKA TÜRK KATILIM BANKASI"
"533796","ALBARAKA TÜRK KATILIM BANKASI"
"416275","TÜRKİYE FİNANS KATILIM BANKASI"
"979235","TÜRK ELEKTRONİK PARA"
"535355","VAKIF KATILIM BANKASI"
"670544","VAKIF KATILIM BANKASI"
"979244","T.HALK BANKASI"
"526911","FİNANS BANK"
"528064","ODEA BANK"
"531389","PAPARA"
"535925","PAPARA"
"434530","T. VAKIFLAR BANKASI T.A.O."
"406281","YAPI KREDİ BANKASI"
"657366","YAPI KREDİ BANKASI"
"657998","YAPI KREDİ BANKASI"
"531401","ING BANK"
"979266","İNİNAL ÖDEME VE ELEKTRONİK PARA HİZMETLERİ"
"549624","YAPI KREDİ BANKASI"
"377597","GARANTİ BANKASI"
"377598","GARANTİ BANKASI"
"432952","GARANTİ BANKASI"
"432954","GARANTİ BANKASI"
"538121","GARANTİ BANKASI"
"549997","GARANTİ BANKASI"
"531369","T.VAKIFLAR BANKASI T.A.O."
"434528","T.C.ZİRAAT BANKASI"
"434529","T.C.ZİRAAT BANKASI"
"377599","GARANTİ BANKASI"
"979246","AKTİF YATIRIM BANKASI"
"434572","ALBARAKA TÜRK KATILIM BANKASI"
"374423","GARANTİ BANKASI"
"416607","T.HALK BANKASI"
"434724","T.VAKIFLAR BANKASI T.A.O."
"522441","T.VAKIFLAR BANKASI T.A.O."
"404350","TÜRK EKONOMİ BANKASI"
"497022","TÜRK EKONOMİ BANKASI"
"516643","AKBANK"
"374428","GARANTİ BANKASI"
"375630","GARANTİ BANKASI"
"377596","GARANTİ BANKASI"
"406665","GARANTİ BANKASI"
"406666","GARANTİ BANKASI"
"538124","GARANTİ BANKASI"
"538139","GARANTİ BANKASI"
"638888","GARANTİ BANKASI"
"685800","GARANTİ BANKASI"
"533803","İŞ BANKASI"
"550478","ING BANK"
"549839","DENİZBANK"
"534567","AKTİF YATIRIM BANKASI"
"549539","AKTİF YATIRIM BANKASI"
"483673","KUVEYT TÜRK KATILIM BANKASI"
"979265","VAKIF KATILIM BANKASI"
"535616","TÜRK ELEKTRONİK PARA"
